sid,condition,dayO2_mgO2/cm2/min,daycal_CaCO3/cm2/min,nightO2_mgO2/cm2/min,chla_ug/cm2,chlc_ug/cm2,totchl_ug/cm2,zooxdcells/cm2,protein_mg/cm2,GrossPS_mgO2/cm2/min
g1,healthy,0.342676142,34.99962876,-0.589515459,17.25731223,4.731833564,22.54767416,1355939.086,393.9898477,0.932191601
g1,WPS,-0.218916399,34.93377659,-0.514227851,6.360863191,1.324736275,7.614387399,462757.732,552.6649485,0.295311452
g2,healthy,0.419393031,52.43999888,-1.370917717,12.47616758,4.048513917,17.39334965,3420000,714.4968153,1.790310748
g2,WPS,0.038067758,19.39737584,-0.742159435,2.03343691,0.800021133,3.021402216,885196.7709,313.7013118,0.780227193
g3,healthy,0.30189166,36.33374174,-1.093532127,26.53122067,7.060549825,34.1139208,2082720.848,653.7625442,1.395423787
g3,WPS,-0.601848185,25.48754579,-0.633602694,1.885459876,0.502400599,2.647486766,119777.7778,578.3555556,0.031754509
g4,healthy,0.150167918,34.48673738,-0.370443686,31.58318716,8.44332822,40.96265437,1983532.423,983.0580205,0.520611604
g4,WPS,-0.388858696,21.5332434,-0.807476985,1.069852025,0.222427223,1.362066239,48790.76087,269.0461957,0.418618289
g5,healthy,0.565443431,41.55484868,-0.53072322,18.75795298,4.622361186,24.25184709,1816589.862,233.9170507,1.096166651
g5,WPS,-0.66567718,34.95544202,-0.650541441,2.805854107,0.179780017,2.898339337,90122.44898,310.922449,-0.015135739
g6,healthy,0.913596587,63.81147233,-0.858295964,31.46230628,8.83951159,41.92990021,2639461.883,661.0762332,1.771892551
g6,WPS,-0.583869702,55.76715023,-0.975677002,4.472098843,0.922455377,5.360384449,327115.3846,112.1538462,0.3918073
g7,healthy,0.718903245,39.95463306,-0.307273161,17.42204915,4.673645636,22.92439862,564280.5755,466.381295,1.026176406
g7,WPS,-0.295841584,30.38504908,-0.677843217,1.536825259,0.127978021,1.636755826,8019.80198,269.4653465,0.382001633
g8,healthy,0.410300962,24.75302171,-0.67081563,17.19811845,4.466668783,22.20596262,563959.0444,882.4300341,1.081116592
g8,WPS,-0.081137693,12.12323885,-0.227809676,5.090185559,1.193258485,6.237542442,126315.7895,528.8421053,0.146671983